,ID,R1641051,R1641052,R1641053,R1641054,R1641057,R1641058,R164105A,R164105D,GPA
0,166M1A0501,0,5,0,0,8,10,0,0,2.3181818181818183
1,166M1A0502,5,6,5,6,9,10,6,7,6.5
2,166M1A0503,7,6,6,8,9,10,7,6,7.181818181818182
3,166M1A0504,6,6,6,6,9,10,6,6,6.636363636363637
4,166M1A0505,0,7,7,7,9,9,5,5,5.863636363636363
5,166M1A0506,6,6,7,5,9,10,6,8,6.909090909090909
6,166M1A0507,7,5,7,7,9,10,5,6,6.7727272727272725
7,166M1A0508,5,5,0,5,8,10,6,5,5.181818181818182
8,166M1A0509,0,6,0,6,8,10,0,5,3.9545454545454546
9,166M1A0510,5,6,7,6,9,10,5,6,6.5
10,166M1A0511,6,0,5,6,7,10,0,0,3.8636363636363638
11,166M1A0512,6,6,8,0,8,10,6,5,5.863636363636363
12,166M1A0513,5,7,6,6,8,10,6,6,6.545454545454546
13,166M1A0514,6,6,6,7,8,10,6,7,6.818181818181818
14,166M1A0515,8,7,5,8,9,10,7,6,7.318181818181818
15,166M1A0516,6,7,7,6,9,10,5,6,6.7727272727272725
16,166M1A0517,5,6,5,5,8,9,5,0,5.090909090909091
17,166M1A0518,5,5,5,5,7,9,5,6,5.681818181818182
18,166M1A0519,9,7,7,8,10,10,7,7,7.954545454545454
19,166M1A0520,6,6,6,5,9,10,5,6,6.363636363636363
20,166M1A0521,5,8,6,0,8,10,6,5,5.7272727272727275
21,166M1A0522,6,6,5,6,9,10,7,8,6.909090909090909
22,166M1A0523,7,6,6,7,10,10,6,6,7.0
23,166M1A0524,7,8,8,6,10,10,7,7,7.681818181818182
24,166M1A0525,6,8,7,6,9,10,6,6,7.045454545454546
25,166M1A0526,6,7,6,6,9,10,7,8,7.181818181818182
26,166M1A0527,8,0,5,6,9,10,6,6,5.954545454545454
27,166M1A0528,6,6,5,5,8,10,0,5,5.318181818181818
28,166M1A0529,0,6,5,0,8,10,0,0,3.1363636363636362
29,166M1A0530,5,6,5,6,8,9,0,6,5.363636363636363
30,166M1A0531,8,0,5,6,9,10,7,5,5.954545454545454
31,166M1A0532,6,7,0,5,9,10,6,5,5.681818181818182
32,166M1A0533,0,7,5,5,8,10,0,0,3.9545454545454546
33,166M1A0534,5,6,5,6,9,10,0,6,5.545454545454546
34,166M1A0535,9,6,6,7,9,10,7,6,7.318181818181818
35,166M1A0536,6,5,0,5,9,10,5,5,5.2727272727272725
36,166M1A0537,5,8,6,6,10,10,6,0,6.045454545454546
37,166M1A0538,7,7,6,7,10,10,6,7,7.2727272727272725
38,166M1A0539,5,0,0,5,9,10,0,5,3.772727272727273
39,166M1A0540,6,8,6,5,9,10,6,5,6.636363636363637
40,166M1A0541,0,7,5,5,9,10,5,5,5.409090909090909
41,166M1A0542,8,6,7,7,9,10,6,7,7.318181818181818
42,166M1A0543,8,7,6,7,10,10,6,7,7.409090909090909
43,166M1A0545,8,8,7,6,9,10,7,7,7.590909090909091
44,166M1A0546,5,6,5,5,9,10,5,0,5.2727272727272725
45,166M1A0547,7,7,6,7,10,10,7,8,7.545454545454546
46,166M1A0548,7,6,7,6,10,10,5,6,6.863636363636363
47,166M1A0549,7,9,7,6,10,10,7,8,7.818181818181818
48,166M1A0550,6,8,7,7,9,10,5,5,6.909090909090909
49,166M1A0551,6,6,5,6,9,10,5,8,6.636363636363637
50,166M1A0552,7,6,6,6,9,10,6,6,6.7727272727272725
51,166M1A0553,5,6,0,5,8,10,5,0,4.5
52,166M1A0554,5,5,5,0,9,10,0,0,3.772727272727273
53,166M1A0555,6,6,5,6,9,10,5,7,6.5
54,166M1A0556,8,6,6,6,9,10,6,6,6.909090909090909
55,166M1A0557,5,6,5,5,9,10,0,5,5.2727272727272725
56,166M1A0558,0,6,6,5,7,9,5,0,4.454545454545454
57,166M1A0559,7,8,7,7,10,10,6,8,7.681818181818182
58,166M1A0560,7,5,5,5,9,10,6,5,6.2272727272727275
